sequence_name,FSIG_a_mean,FSIG_a_var,FSIG_lt_mean,FSIG_lt_var,FSIG_lb_mean,FSIG_lb_var,FSIG_rt_mean,FSIG_rt_var,FSIG_rb_mean,FSIG_rb_var
Chillin_Like_a_Villain_(From_Descendants_2)_001_1500_1625_854x480_HW_Q3_CRF10.bin,6.275075,1096.515,8.809578,1774.186,5.800751,672.5437,11.90428,2359.033,8.929533,479.1352
Chillin_Like_a_Villain_(From_Descendants_2)_001_1625_1750_854x480_HW_Q3_CRF10.bin,0.1068481,0.1320388,0,0,0.2484518,0.719065,0,0,0.2980734,1.029074
Chillin_Like_a_Villain_(From_Descendants_2)_001_1750_1875_854x480_HW_Q3_CRF10.bin,0.1068481,0.1320388,0,0,0.2484518,0.719065,0,0,0.2980734,1.029074
Chillin_Like_a_Villain_(From_Descendants_2)_001_1875_2000_854x480_HW_Q3_CRF10.bin,0.1068481,0.1320388,0,0,0.2484518,0.719065,0,0,0.2980734,1.029074
Chillin_Like_a_Villain_(From_Descendants_2)_001_2000_2125_854x480_HW_Q3_CRF10.bin,0.1068481,0.1320388,0,0,0.2484518,0.719065,0,0,0.2980734,1.029074
Chillin_Like_a_Villain_(From_Descendants_2)_001_2125_2250_854x480_HW_Q3_CRF10.bin,0.1068481,0.1320388,0,0,0.2484518,0.719065,0,0,0.2980734,1.029074
Chillin_Like_a_Villain_(From_Descendants_2)_001_2250_2375_854x480_HW_Q3_CRF10.bin,0.1068481,0.1320388,0,0,0.2484518,0.719065,0,0,0.2980734,1.029074
Chillin_Like_a_Villain_(From_Descendants_2)_001_2375_2500_854x480_HW_Q3_CRF10.bin,0.1068481,0.1320388,0,0,0.2484518,0.719065,0,0,0.2980734,1.029074
Chillin_Like_a_Villain_(From_Descendants_2)_001_2500_2625_854x480_HW_Q3_CRF10.bin,0.1068481,0.1320388,0,0,0.2484518,0.719065,0,0,0.2980734,1.029074
Chillin_Like_a_Villain_(From_Descendants_2)_001_250_375_854x480_HW_Q3_CRF10.bin,4.397557,231.5467,6.937217,596.3364,4.603784,457.3203,8.607979,723.265,6.911607,429.9624
Chillin_Like_a_Villain_(From_Descendants_2)_001_2625_2750_854x480_HW_Q3_CRF10.bin,4.397557,231.5467,6.937217,596.3364,4.603784,457.3203,8.607979,723.265,6.911607,429.9624
Chillin_Like_a_Villain_(From_Descendants_2)_001_2750_2875_854x480_HW_Q3_CRF10.bin,4.397557,231.5467,6.937217,596.3364,4.603784,457.3203,8.607979,723.265,6.911607,429.9624
Chillin_Like_a_Villain_(From_Descendants_2)_001_2875_3000_854x480_HW_Q3_CRF10.bin,4.397557,231.5467,6.937217,596.3364,4.603784,457.3203,8.607979,723.265,6.911607,429.9624
Chillin_Like_a_Villain_(From_Descendants_2)_001_375_500_854x480_HW_Q3_CRF10.bin,5.944684,89.2389,7.69015,165.5139,11.03727,330.3712,9.685574,264.645,11.9083,217.6628
Chillin_Like_a_Villain_(From_Descendants_2)_001_500_625_854x480_HW_Q3_CRF10.bin,5.567953,7.337231,8.258874,33.59601,10.78629,49.24213,10.41771,21.15695,13.90598,63.87735
Chillin_Like_a_Villain_(From_Descendants_2)_001_625_750_854x480_HW_Q3_CRF10.bin,4.782818,57.72547,8.160102,291.4632,7.477936,126.9497,9.150599,245.0469,7.793684,244.6825
Chillin_Like_a_Villain_(From_Descendants_2)_001_750_875_854x480_HW_Q3_CRF10.bin,8.802422,163.4107,14.97775,418.6457,11.1393,414.8378,19.64211,479.8604,13.75957,337.3466
Chillin_Like_a_Villain_(From_Descendants_2)_001_875_1000_854x480_HW_Q3_CRF10.bin,8.07194,28.37803,18.45312,359.432,17.05197,383.6413,21.04046,602.2587,14.05163,397.3495
China_Anne_McClain_-_Night_Is_Young_(From_Descendants_Wicked_World)_000_0_125_854x480_HW_Q3_CRF10.bin,8.030781,82.4875,9.580776,72.45508,14.88649,254.9268,9.631201,76.77446,10.65688,160.9188
China_Anne_McClain_-_Night_Is_Young_(From_Descendants_Wicked_World)_000_1000_1125_854x480_HW_Q3_CRF10.bin,18.79877,985.6616,23.72077,1629.542,32.74594,4169.247,35.42132,2984.916,35.59545,3514.292
China_Anne_McClain_-_Night_Is_Young_(From_Descendants_Wicked_World)_000_1125_1250_854x480_HW_Q3_CRF10.bin,22.92337,815.46,31.89564,1731.747,31.43588,1285.711,47.96034,2603.508,40.86561,1780.307
China_Anne_McClain_-_Night_Is_Young_(From_Descendants_Wicked_World)_000_1250_1375_854x480_HW_Q3_CRF10.bin,18.50863,742.2628,40.62622,1691.047,22.98606,2045.999,30.61727,991.6099,19.3529,751.9215
China_Anne_McClain_-_Night_Is_Young_(From_Descendants_Wicked_World)_000_125_250_854x480_HW_Q3_CRF10.bin,7.134392,33.23904,13.11921,128.2739,14.23053,291.9758,8.735296,28.41859,12.58911,102.4721
China_Anne_McClain_-_Night_Is_Young_(From_Descendants_Wicked_World)_000_1375_1500_854x480_HW_Q3_CRF10.bin,16.02945,677.4734,15.54814,724.9832,32.77309,3809.077,16.57814,799.5391,34.46651,2423.425
China_Anne_McClain_-_Night_Is_Young_(From_Descendants_Wicked_World)_000_1500_1625_854x480_HW_Q3_CRF10.bin,11.23396,31.3842,13.57597,48.41598,18.77705,93.34337,15.20698,77.55363,27.38488,189.5011
China_Anne_McClain_-_Night_Is_Young_(From_Descendants_Wicked_World)_000_1625_1750_854x480_HW_Q3_CRF10.bin,10.21797,48.05121,19.49332,287.2009,17.37149,308.7648,17.521,204.7957,15.66643,101.3843
China_Anne_McClain_-_Night_Is_Young_(From_Descendants_Wicked_World)_000_1750_1875_854x480_HW_Q3_CRF10.bin,16.17626,78.41228,31.57939,612.5016,18.95418,287.1013,19.5155,67.68156,33.73515,308.2387
China_Anne_McClain_-_Night_Is_Young_(From_Descendants_Wicked_World)_000_1875_2000_854x480_HW_Q3_CRF10.bin,17.71699,358.2834,17.3729,426.5471,34.75891,1186.931,13.17647,163.1922,44.44051,1888.407
China_Anne_McClain_-_Night_Is_Young_(From_Descendants_Wicked_World)_000_2000_2125_854x480_HW_Q3_CRF10.bin,8.548976,183.8718,11.4193,135.7822,15.55221,191.9172,11.81298,475.0648,14.47438,411.957
China_Anne_McClain_-_Night_Is_Young_(From_Descendants_Wicked_World)_000_2125_2250_854x480_HW_Q3_CRF10.bin,16.43329,688.2479,36.11025,2272.376,33.15977,2597.517,14.61646,265.2302,14.65508,214.6664
China_Anne_McClain_-_Night_Is_Young_(From_Descendants_Wicked_World)_000_2250_2375_854x480_HW_Q3_CRF10.bin,25.86354,1009.409,40.98597,1867.813,49.24411,4330.787,45.03112,1964.379,51.27795,3821.56
China_Anne_McClain_-_Night_Is_Young_(From_Descendants_Wicked_World)_000_2375_2500_854x480_HW_Q3_CRF10.bin,27.20921,1631.722,36.19901,3513.553,26.0307,1313.346,52.55873,5062.688,63.60077,7838.535
China_Anne_McClain_-_Night_Is_Young_(From_Descendants_Wicked_World)_000_2500_2625_854x480_HW_Q3_CRF10.bin,20.77512,995.1912,38.46138,2007.653,35.86702,1920.113,38.71528,2151.706,42.2449,1853.205
China_Anne_McClain_-_Night_Is_Young_(From_Descendants_Wicked_World)_000_250_375_854x480_HW_Q3_CRF10.bin,11.97377,194.8377,14.4012,199.4267,23.59025,636.4581,13.76057,144.4004,14.50296,195.5608
China_Anne_McClain_-_Night_Is_Young_(From_Descendants_Wicked_World)_000_2625_2750_854x480_HW_Q3_CRF10.bin,13.84021,1459.338,19.88727,2131.757,20.05331,2258.274,23.74249,2018.212,24.78904,1830.779
China_Anne_McClain_-_Night_Is_Young_(From_Descendants_Wicked_World)_000_2750_2875_854x480_HW_Q3_CRF10.bin,32.25016,2399.095,40.29947,3316.324,81.34188,11446.6,35.81215,1249.215,59.97753,1693.284
China_Anne_McClain_-_Night_Is_Young_(From_Descendants_Wicked_World)_000_2875_3000_854x480_HW_Q3_CRF10.bin,32.60994,1581.483,39.23587,1785.766,82.5347,9349.82,35.14056,918.3622,67.54885,1501.216
China_Anne_McClain_-_Night_Is_Young_(From_Descendants_Wicked_World)_000_375_500_854x480_HW_Q3_CRF10.bin,6.564127,58.24137,11.88558,147.9451,13.0266,152.8825,9.94874,159.2087,11.33365,227.2554
China_Anne_McClain_-_Night_Is_Young_(From_Descendants_Wicked_World)_000_500_625_854x480_HW_Q3_CRF10.bin,8.705507,941.9173,12.71224,1312.754,13.45474,1581.322,10.68075,1514.784,13.78901,2333.061
China_Anne_McClain_-_Night_Is_Young_(From_Descendants_Wicked_World)_000_625_750_854x480_HW_Q3_CRF10.bin,8.836097,396.4283,21.37188,1504.491,13.48127,911.1171,6.905329,340.3031,9.268649,1507.518
China_Anne_McClain_-_Night_Is_Young_(From_Descendants_Wicked_World)_000_750_875_854x480_HW_Q3_CRF10.bin,14.8384,800.3368,30.05918,1304.764,32.72321,3329.515,14.94341,1133.219,18.04494,1452.166
China_Anne_McClain_-_Night_Is_Young_(From_Descendants_Wicked_World)_000_875_1000_854x480_HW_Q3_CRF10.bin,19.74145,498.3391,42.12777,1159.121,37.79564,2799.438,24.47307,1010.808,34.79267,2760.033
China_Anne_McClain_-_Night_Is_Young_(From_Descendants_Wicked_World)_001_0_125_854x480_HW_Q3_CRF10.bin,23.6789,140.7706,44.96779,697.8939,44.96958,1034.592,39.31145,385.3107,51.02708,793.998
China_Anne_McClain_-_Night_Is_Young_(From_Descendants_Wicked_World)_001_1000_1125_854x480_HW_Q3_CRF10.bin,23.6789,140.7706,44.96779,697.8939,44.96958,1034.592,39.31145,385.3107,51.02708,793.998
China_Anne_McClain_-_Night_Is_Young_(From_Descendants_Wicked_World)_001_1125_1250_854x480_HW_Q3_CRF10.bin,23.6789,140.7706,44.96779,697.8939,44.96958,1034.592,39.31145,385.3107,51.02708,793.998
China_Anne_McClain_-_Night_Is_Young_(From_Descendants_Wicked_World)_001_1250_1375_854x480_HW_Q3_CRF10.bin,23.6789,140.7706,44.96779,697.8939,44.96958,1034.592,39.31145,385.3107,51.02708,793.998
